# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Sat Mar  7 09:26:46 2026
#
# User preference: *
#
# COLUMN pl_name:        Planet Name
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_orbpererr1:  Orbital Period Upper Unc. [days]
# COLUMN pl_orbpererr2:  Orbital Period Lower Unc. [days]
# COLUMN pl_orbperlim:   Orbital Period Limit Flag
# COLUMN pl_radj:        Planet Radius [Jupiter Radius]
# COLUMN pl_radjerr1:    Planet Radius Upper Unc. [Jupiter Radius]
# COLUMN pl_radjerr2:    Planet Radius Lower Unc. [Jupiter Radius]
# COLUMN pl_radjlim:     Planet Radius Limit Flag
# COLUMN pl_bmassj:      Planet Mass or Mass*sin(i) [Jupiter Mass]
# COLUMN pl_bmassjerr1:  Planet Mass or Mass*sin(i) [Jupiter Mass] Upper Unc.
# COLUMN pl_bmassjerr2:  Planet Mass or Mass*sin(i) [Jupiter Mass] Lower Unc.
# COLUMN pl_bmassjlim:   Planet Mass or Mass*sin(i) [Jupiter Mass] Limit Flag
# COLUMN pl_insol:       Insolation Flux [Earth Flux]
# COLUMN pl_insolerr1:   Insolation Flux Upper Unc. [Earth Flux]
# COLUMN pl_insolerr2:   Insolation Flux Lower Unc. [Earth Flux]
# COLUMN pl_insollim:    Insolation Flux Limit Flag
# COLUMN pl_eqt:         Equilibrium Temperature [K]
# COLUMN pl_eqterr1:     Equilibrium Temperature Upper Unc. [K]
# COLUMN pl_eqterr2:     Equilibrium Temperature Lower Unc. [K]
# COLUMN pl_eqtlim:      Equilibrium Temperature Limit Flag
# COLUMN st_teff:        Stellar Effective Temperature [K]
# COLUMN st_tefferr1:    Stellar Effective Temperature Upper Unc. [K]
# COLUMN st_tefferr2:    Stellar Effective Temperature Lower Unc. [K]
# COLUMN st_tefflim:     Stellar Effective Temperature Limit Flag
# COLUMN st_mass:        Stellar Mass [Solar mass]
# COLUMN st_masserr1:    Stellar Mass Upper Unc. [Solar mass]
# COLUMN st_masserr2:    Stellar Mass Lower Unc. [Solar mass]
# COLUMN st_masslim:     Stellar Mass Limit Flag
# COLUMN st_met:         Stellar Metallicity [dex]
# COLUMN st_meterr1:     Stellar Metallicity Upper Unc. [dex]
# COLUMN st_meterr2:     Stellar Metallicity Lower Unc. [dex]
# COLUMN st_metlim:      Stellar Metallicity Limit Flag
#
pl_name,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_insol,pl_insolerr1,pl_insolerr2,pl_insollim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_mass,st_masserr1,st_masserr2,st_masslim,st_met,st_meterr1,st_meterr2,st_metlim
2MASS J11550485-7919108 b,,,,,1.08000000,,,0,20.00000000,1.00000000,-1.00000000,0,,,,,2506.00,2.00,-2.00,0,3021.00,157.00,-157.00,0,0.588460,0.020331,-0.020331,0,,,,
2MASS J12073346-3932539 b,,,,,1.15000000,,,0,5.00000000,2.00000000,-2.00000000,0,,,,,1250.00,200.00,-200.00,0,2825.00,157.00,-157.00,0,0.024000,,,0,,,,
2MASS J19383260+4603591 b,406.00000000000,4.00000000000,-4.00000000000,0,1.20000000,,,0,1.90000000,0.10000000,-0.10000000,0,,,,,,,,,29564.00,,,0,0.480000,,,0,-0.0920,,,0
2MASS J21252752-8138278 b,,,,,1.10000000,,,0,12.00000000,1.00000000,-1.00000000,0,,,,,1616.00,32.00,-3.00,0,3592.00,157.00,-157.00,0,0.643977,0.020802,-0.020802,0,,,,
2MASS J22362452+4751425 b,,,,,1.10000000,,,0,12.50000000,1.50000000,-1.50000000,0,,,,,,,,,4045.00,35.00,-35.00,0,0.600000,0.050000,-0.050000,0,,,,
2MASS J22501512+2325342 b,,,,,1.06000000,,,0,30.00000000,11.00000000,-4.00000000,0,,,,,1600.00,200.00,-200.00,0,3352.00,157.00,-157.00,0,0.433173,0.020207,-0.020207,0,,,,
4 UMa b,270.27000000000,0.24000000000,-0.09000000000,0,1.12000000,,,0,7.90200000,0.19900000,-0.37800000,0,,,,,,,,,4415.00,70.00,-70.00,0,1.234000,0.150000,-0.150000,0,-0.2500,0.0400,-0.0400,0
47 UMa b,1078.00000000000,2.00000000000,-2.00000000000,0,1.18000000,,,0,2.53000000,0.07000000,-0.06000000,0,,,,,,,,,5872.00,92.94,-113.53,0,1.060000,0.128402,-0.137608,0,0.0400,0.1000,-0.1000,0
47 UMa c,2391.00000000000,100.00000000000,-87.00000000000,0,1.27000000,,,0,0.54000000,0.06600000,-0.07300000,0,,,,,,,,,5872.00,92.94,-113.53,0,1.060000,0.128402,-0.137608,0,0.0400,0.1000,-0.1000,0
47 UMa d,14002.00000000000,4018.00000000000,-5095.00000000000,0,1.20000000,,,0,1.64000000,0.29000000,-0.48000000,0,,,,,,,,,5872.00,92.94,-113.53,0,1.060000,0.128402,-0.137608,0,0.0400,0.1000,-0.1000,0
51 Eri b,9100.00000000000,1100.00000000000,-1500.00000000000,0,,,,,10.90000000,,,1,,,,,807.00,45.00,-45.00,0,7422.00,58.00,-58.00,0,1.750000,0.050000,-0.050000,0,0.1300,0.0300,-0.0200,0
51 Peg b,4.23078500000,0.00003600000,-0.00003600000,0,1.27000000,,,0,0.46000000,0.06000000,-0.01000000,0,,,,,,,,,5758.00,101.62,-119.62,0,1.030000,0.166699,-0.085418,0,0.1800,0.1000,-0.1000,0
55 Cnc B b,6.79940000000,0.00130000000,-0.00140000000,0,0.15100000,,,0,0.01101223,0.00251708,-0.00251708,0,,,,,,,,,3286.00,31.00,-31.00,0,0.260000,0.020000,-0.020000,0,0.1600,0.1000,-0.1000,0
55 Cnc B c,33.74700000000,0.03500000000,-0.03500000000,0,0.19300000,,,0,0.01667566,0.00440489,-0.00440489,0,,,,,,,,,3286.00,31.00,-31.00,0,0.260000,0.020000,-0.020000,0,0.1600,0.1000,-0.1000,0
55 Cnc b,14.65155200000,0.00003600000,-0.00003600000,0,1.24000000,,,0,0.83060000,0.00330000,-0.00330000,0,,,,,700.00,,,0,5198.00,31.00,-31.00,0,1.015000,0.051000,-0.051000,0,0.3900,0.1000,-0.1000,0
55 Cnc c,44.39360000000,0.00240000000,-0.00240000000,0,0.76000000,,,0,0.17140000,0.00550000,-0.00550000,0,,,,,,,,,5198.00,31.00,-31.00,0,1.015000,0.051000,-0.051000,0,0.3900,0.1000,-0.1000,0
55 Cnc d,4799.00000000000,4.90000000000,-15.00000000000,0,1.16000000,,,0,3.87800000,0.06800000,-0.06800000,0,,,,,,,,,5198.00,31.00,-31.00,0,1.015000,0.051000,-0.051000,0,0.3900,0.1000,-0.1000,0
55 Cnc e,0.73654740000,0.00000130000,-0.00000140000,0,0.16727630,0.00258721,-0.00258721,0,0.02513923,0.00100683,-0.00103829,0,2657.8322,,,0,1958.00,15.00,-15.00,0,5172.00,18.00,-18.00,0,0.905000,0.015000,-0.015000,0,0.3500,0.1000,-0.1000,0
55 Cnc f,260.58000000000,0.15000000000,-0.15000000000,0,0.67700000,,,0,0.14100000,0.01200000,-0.01200000,0,,,,,,,,,5198.00,31.00,-31.00,0,1.015000,0.051000,-0.051000,0,0.3900,0.1000,-0.1000,0
6 Lyn b,919.86000000000,1.92000000000,-3.71000000000,0,1.20000000,,,0,1.88100000,0.03800000,-0.08900000,0,,,,,,,,,4941.00,,,0,1.320000,0.200000,-0.210000,0,-0.1700,0.1100,-0.0700,0
61 Vir b,4.21500000000,0.00060000000,-0.00060000000,0,0.18800000,,,0,0.01600000,0.00200000,-0.00200000,0,,,,,,,,,5577.00,33.00,-33.00,0,0.942000,0.034000,-0.029000,0,-0.0100,,,0
61 Vir c,38.02100000000,0.03400000000,-0.03400000000,0,0.39800000,,,0,0.05700000,0.00300000,-0.00300000,0,,,,,,,,,5577.00,33.00,-33.00,0,0.942000,0.034000,-0.029000,0,-0.0100,,,0
61 Vir d,123.01000000000,0.55000000000,-0.55000000000,0,0.45600000,,,0,0.07200000,0.00800000,-0.00800000,0,,,,,,,,,5577.00,33.00,-33.00,0,0.942000,0.034000,-0.029000,0,-0.0100,,,0
7 CMa b,735.10000000000,14.80000000000,-1.00000000000,0,1.20000000,,,0,1.85000000,0.06000000,-0.06000000,0,,,,,,,,,4826.00,45.00,-55.00,0,1.340000,0.110000,-0.120000,0,0.2100,0.1000,-0.1000,0
7 CMa c,996.00000000000,1.50000000000,-52.40000000000,0,1.24000000,,,0,0.87000000,0.06000000,-0.06000000,0,,,,,,,,,4826.00,45.00,-55.00,0,1.340000,0.110000,-0.120000,0,0.2100,0.1000,-0.1000,0
70 Vir b,116.68800000000,0.00540000000,-0.00540000000,0,1.13000000,,,0,7.49000000,0.61000000,-0.61000000,0,,,,,,,,,5495.00,,,0,1.090000,,,0,-0.0900,0.0300,-0.0300,0
75 Cet b,696.62000000000,1.33000000000,-1.69000000000,0,1.18000000,,,0,2.47900000,0.07400000,-0.09000000,0,,,,,,,,,4809.00,,,0,1.920000,0.070000,-0.080000,0,0.1000,0.0800,-0.0500,0
75 Cet c,2051.62000000000,45.98000000000,-40.47000000000,0,1.24000000,,,0,0.91200000,0.08800000,-0.14300000,0,,,,,,,,,4809.00,,,0,1.920000,0.070000,-0.080000,0,0.1000,0.0800,-0.0500,0
8 UMi b,93.31000000000,0.06000000000,-0.06000000000,0,1.20000000,,,0,1.65000000,0.06000000,-0.06000000,0,,,,,,,,,4847.00,100.00,-100.00,0,1.510000,0.060000,-0.060000,0,-0.0300,0.1000,-0.1000,0
81 Cet b,1005.57000000000,1.84000000000,-1.94000000000,0,1.17000000,,,0,3.30700000,0.07800000,-0.06700000,0,,,,,,,,,4734.00,,,0,1.230000,0.300000,-0.250000,0,-0.1100,0.1000,-0.0600,0
91 Aqr b,181.40000000000,0.10000000000,-0.10000000000,0,1.17000000,,,0,3.20000000,,,0,,,,,,,,,4665.00,18.00,-18.00,0,1.400000,0.100000,-0.100000,0,-0.0300,0.1000,-0.1000,0
AB Aur b,,,,,1.12000000,,,0,9.00000000,,,0,,,,,,,,,9770.00,100.00,-100.00,0,2.400000,0.200000,-0.200000,0,,,,
AB Pic b,,,,,1.10000000,,,0,13.50000000,0.50000000,-0.50000000,0,,,,,,,,,5285.00,10.00,-9.00,0,0.900000,0.100000,-0.100000,0,0.0400,0.0200,-0.0200,0
AF Lep b,8905.00000000000,400.00000000000,-150.00000000000,0,1.16000000,,,0,3.61000000,0.49000000,-0.48000000,0,,,,,1400.00,300.00,-300.00,0,6140.00,47.00,-47.00,0,1.218000,0.029000,-0.039000,0,0.1900,0.0200,-0.0200,0
AT2021ueyL b,4168.69000000000,2910.76000000000,-1713.98000000000,0,1.22000000,,,0,1.34000000,0.45000000,-0.50000000,0,,,,,,,,,3680.00,307.00,-204.00,0,0.490000,0.160000,-0.180000,0,,,,
AU Mic b,8.46344600000,0.00000500000,-0.00000500000,0,0.42733591,0.02587211,-0.02587211,0,0.02828570,0.00821198,-0.00840076,0,21.2000,2.5000,-2.4000,0,554.80,31.60,-32.00,0,3540.00,120.00,-110.00,0,0.635000,0.040000,-0.070000,0,0.0100,0.0600,-0.0600,0
AU Mic c,18.85902300000,0.00002200000,-0.00002400000,0,0.24890756,0.01605855,-0.01516641,0,0.04549625,0.01019418,-0.01076052,0,7.3000,0.9000,-0.8000,0,424.70,24.20,-24.50,0,3540.00,120.00,-110.00,0,0.635000,0.040000,-0.070000,0,0.0100,0.0600,-0.0600,0
AU Mic d,12.73596000000,0.00793000000,-0.00793000000,0,0.09120000,,,0,0.00331000,0.00161000,-0.00161000,0,,,,,,,,,3678.00,90.00,-88.00,0,0.510000,0.028000,-0.027000,0,0.2300,0.2400,-0.3000,0
AU Mic e,33.11000000000,0.06000000000,-0.06000000000,0,0.43400000,,,0,0.06638802,0.01699030,-0.01352931,0,,,,,,,,,3665.00,31.00,-31.00,0,0.600000,0.040000,-0.040000,0,0.1200,0.1000,-0.1000,0
BD+03 2562 b,481.90000000000,2.70000000000,-2.80000000000,0,1.13000000,,,0,6.40000000,1.30000000,-1.30000000,0,,,,,,,,,4095.00,20.00,-20.00,0,1.140000,0.250000,-0.250000,0,-0.7100,0.0900,-0.0900,0
BD+05 4868 A b,1.27186900000,0.00000100000,-0.00000100000,0,,,,,0.01950738,,,1,,,,,1820.00,45.00,-45.00,0,4596.00,65.00,-64.00,0,0.700000,0.020000,-0.020000,0,-0.0500,0.0800,-0.0500,0
BD+14 4559 b,268.94000000000,0.99000000000,-0.99000000000,0,1.23000000,,,0,1.04000000,0.47000000,-0.47000000,0,,,,,,,,,4864.00,101.00,-101.00,0,0.490000,0.330000,-0.330000,0,0.1700,,,0
BD+15 2375 b,153.22000000000,0.44000000000,-0.44000000000,0,1.23000000,,,0,1.06100000,0.27000000,-0.27000000,0,,,,,,,,,4649.00,30.00,-30.00,0,1.080000,0.140000,-0.140000,0,-0.2200,0.0800,-0.0800,0
BD+15 2940 b,137.48000000000,0.34000000000,-0.34000000000,0,1.23000000,,,0,1.11000000,,,0,,,,,,,,,4796.00,117.00,-117.00,0,1.100000,0.200000,-0.200000,0,0.2800,0.0700,-0.0700,0
BD+20 2457 b,379.63000000000,2.01000000000,-2.01000000000,0,1.08000000,,,0,21.42000000,,,0,,,,,,,,,4137.00,10.00,-10.00,0,2.800000,1.500000,-1.500000,0,-1.0000,0.0700,-0.0700,0
BD+20 2457 c,621.99000000000,10.20000000000,-10.20000000000,0,1.10000000,,,0,12.47000000,,,0,,,,,,,,,4137.00,10.00,-10.00,0,2.800000,1.500000,-1.500000,0,-1.0000,0.0700,-0.0700,0
BD+20 274 b,578.20000000000,5.40000000000,-5.40000000000,0,1.16000000,,,0,4.20000000,,,0,,,,,,,,,4296.00,10.00,-10.00,0,0.800000,0.200000,-0.200000,0,-0.4600,0.0700,-0.0700,0
BD+20 594 b,41.68550000000,0.00300000000,-0.00300000000,0,0.23000000,0.01000000,-0.01000000,0,0.07000000,0.03000000,-0.03000000,0,,,,,546.00,19.00,-18.00,0,5766.00,99.00,-99.00,0,1.670000,0.400000,-0.400000,0,-0.1500,,,0
BD+37 3172 b,1887.76000000000,0.01000000000,-0.01000000000,0,1.11000000,,,0,10.60000000,,,0,,,,,,,,,4500.00,250.00,-250.00,0,3.750000,0.860000,-0.860000,0,-0.0300,0.1600,-0.1600,0
BD+42 2315 b,123.05000000000,0.04000000000,-0.04000000000,0,1.26000000,,,0,0.55000000,,,0,,,,,,,,,4500.00,250.00,-250.00,0,1.380000,0.300000,-0.300000,0,-0.2000,0.1100,-0.1100,0
BD+45 564 b,307.88000000000,1.47000000000,-1.47000000000,0,1.21000000,,,0,1.36000000,0.12000000,-0.12000000,0,,,,,,,,,5004.00,50.00,-50.00,0,0.810000,0.072000,-0.072000,0,-0.0900,0.0300,-0.0300,0
BD+48 738 b,392.60000000000,5.50000000000,-5.50000000000,0,1.24000000,,,0,0.91000000,,,0,,,,,,,,,4414.00,15.00,-15.00,0,0.740000,0.390000,-0.390000,0,-0.2000,0.0700,-0.0700,0
BD+48 740 b,733.00000000000,5.00000000000,-8.00000000000,0,1.20000000,,,0,1.70000000,0.70000000,-0.70000000,0,,,,,,,,,4534.00,8.00,-8.00,0,1.090000,0.160000,-0.160000,0,-0.1300,0.0600,-0.0600,0
BD+49 828 b,2590.00000000000,300.00000000000,-180.00000000000,0,1.21000000,,,0,1.60000000,0.40000000,-0.20000000,0,,,,,,,,,4943.00,30.00,-30.00,0,1.520000,0.220000,-0.220000,0,-0.1900,0.0600,-0.0600,0
BD+55 362 b,265.59000000000,1.04000000000,-1.04000000000,0,1.25000000,,,0,0.72000000,0.08000000,-0.08000000,0,,,,,,,,,5012.00,78.00,-78.00,0,0.909000,0.099000,-0.099000,0,0.1800,0.0500,-0.0500,0
BD+60 1417 b,,,,,1.31000000,0.06000000,-0.06000000,0,15.00000000,5.00000000,-5.00000000,0,,,,,1303.00,74.00,-74.00,0,4993.00,124.00,-124.00,0,1.000000,,,0,,,,
BD+63 1405 b,1198.48000000000,60.79000000000,-60.79000000000,0,1.11000000,,,0,10.40000000,1.30000000,-1.10000000,0,,,,,,,,,5000.00,53.00,-53.00,0,0.816000,0.083000,-0.083000,0,-0.0900,0.0300,-0.0300,0
BD-06 1339 b,3.87280000000,0.00040000000,-0.00040000000,0,,,,,4.79200000,,,1,,,,,,,,,4324.00,100.00,-100.00,0,0.700000,,,0,-0.1400,0.1700,-0.1700,0
BD-06 1339 c,125.94000000000,0.44000000000,-0.44000000000,0,0.74700000,,,0,0.17000000,0.03000000,-0.03000000,0,,,,,,,,,4324.00,100.00,-100.00,0,0.700000,,,0,-0.1400,0.1700,-0.1700,0
BD-08 2823 b,5.60000000000,0.02000000000,-0.02000000000,0,,,,,9.27700000,,,1,,,,,,,,,4816.00,114.00,-114.00,0,0.500000,0.260000,-0.260000,0,-0.0600,,,0
BD-08 2823 c,237.60000000000,1.50000000000,-1.50000000000,0,1.11000000,,,0,0.33000000,0.03000000,-0.03000000,0,,,,,,,,,4746.00,63.00,-63.00,0,0.740000,0.070000,-0.070000,0,-0.0700,0.0300,-0.0300,0
BD-10 3166 b,3.48777000000,0.00011000000,-0.00011000000,0,1.26000000,,,0,0.59000000,0.07000000,-0.07000000,0,,,,,,,,,5393.00,44.00,-44.00,0,1.470000,0.240000,-0.240000,0,0.3800,,,0
BD-11 4672 b,1634.00000000000,13.00000000000,-14.00000000000,0,1.25000000,,,0,0.65000000,0.05000000,-0.06000000,0,,,,,,,,,4550.00,110.00,-110.00,0,0.651000,0.031000,-0.029000,0,-0.3500,0.1500,-0.1500,0
BD-11 4672 c,74.20000000000,0.06000000000,-0.08000000000,0,0.36000000,,,0,0.04835919,0.00934462,-0.00884120,0,,,,,,,,,4550.00,110.00,-110.00,0,0.651000,0.031000,-0.029000,0,-0.3500,0.1500,-0.1500,0
BD-13 2130 b,714.29999000000,5.30000000000,-5.30000000000,0,1.11000000,,,0,9.78000000,4.56000000,-4.56000000,0,,,,,,,,,4545.00,71.00,-71.00,0,2.120000,1.470000,-1.470000,0,-0.0800,,,0
BD-14 3065 b,4.28897310000,0.00000520000,-0.00000520000,0,1.92600000,0.09400000,-0.09400000,0,12.37000000,0.92000000,-0.87000000,0,646.7610,,,0,2001.00,31.00,-31.00,0,6935.00,90.00,-90.00,0,1.410000,0.050000,-0.050000,0,-0.3400,0.0500,-0.0500,0
BD-17 63 b,655.57000000000,0.58000000000,-0.58000000000,0,1.15000000,,,0,5.16000000,0.20000000,-0.20000000,0,,,,,,,,,4714.00,93.00,-93.00,0,0.741000,0.040000,-0.040000,0,-0.0300,0.0600,-0.0600,0
BD-210397 b,1891.00000000000,56.00000000000,-48.00000000000,0,1.25000000,,,0,0.70000000,0.10000000,-0.10000000,0,0.0200,0.0010,-0.0010,0,,,,,4051.00,239.00,-239.00,0,0.679000,0.017000,-0.017000,0,0.1200,0.1000,-0.1000,0
BD-210397 c,6240.00000000000,151.00000000000,-156.00000000000,0,1.15000000,,,0,4.80000000,0.60000000,-0.60000000,0,0.0039,0.0045,-0.0007,0,,,,,4051.00,239.00,-239.00,0,0.690000,0.010000,-0.010000,0,0.1200,0.1000,-0.1000,0
BEBOP-3 b,547.00000000000,6.20000000000,-7.60000000000,0,1.26000000,,,0,0.55800000,0.05100000,-0.04800000,0,,,,,,,,,6033.00,100.00,-100.00,0,1.083000,0.026000,-0.026000,0,-0.0200,0.1000,-0.1000,0
BEBOP-4 AB b,1823.50000000000,5.10000000000,-4.90000000000,0,,,,,26.30000000,,,1,,,,,,,,,5701.43,118.15,-118.15,0,1.507000,0.152000,-0.152000,0,0.2615,0.0123,-0.0123,0
Barnard b,3.15420000000,0.00040000000,-0.00040000000,0,0.06420000,,,0,0.00094076,0.00008181,-0.00008181,0,6.7600,0.0500,-0.0500,0,438.00,,,0,3195.00,28.00,-28.00,0,0.162000,0.007000,-0.007000,0,-0.5600,0.0700,-0.0700,0
Barnard c,4.12440000000,0.00060000000,-0.00060000000,0,0.06630000,,,0,0.00105403,0.00009439,-0.00009439,0,,,,,400.00,,,0,3195.00,28.00,-28.00,0,0.162000,0.007000,-0.007000,0,-0.5600,0.0700,-0.0700,0
Barnard d,2.34020000000,0.00030000000,-0.00030000000,0,0.06200000,,,0,0.00082749,0.00007551,-0.00007551,0,,,,,483.00,,,0,3195.00,28.00,-28.00,0,0.162000,0.007000,-0.007000,0,-0.5600,0.0700,-0.0700,0
